-45.6448, -13.0359, 270
-45.6415, -13.0545, 270.283
-45.0523, -13.0949, 271.073
-44.428, -13.0981, 271.665
-42.9209, -13.139, 272.211
-41.7797, -13.1935, 273.459
-39.753, -13.2877, 275.831
-38.2578, -13.4175, 278.085
-35.8316, -13.7702, 281.32
-34.3203, -13.9975, 285.612
-32.0436, -14.4402, 290.635
-30.4622, -14.7621, 294.82
-28.6261, -15.0731, 297.398
-27.6829, -15.4177, 300.216
-26.457, -15.7866, 306.304
-25.7046, -16.0609, 314.587
-24.6657, -16.6216, 324.87
-23.7016, -16.8997, 336.69
-22.6865, -17.704, 349.476
-21.5296, -18.2652, 362.529
-20.5851, -19.3971, 375.859
-19.7927, -20.2747, 389.117
-19.1802, -21.6211, 401.45
-18.7428, -22.8197, 413.069
-18.6876, -24.1415, 423.263
-18.5938, -25.4141, 430.278
-18.8638, -26.7046, 433.941
-19.1146, -27.522, 433.994
-19.8224, -28.3944, 431.604
-20.5189, -29.0852, 427.659
-21.9335, -29.9372, 424.051
-23.1276, -30.7173, 421.66
-25.0937, -31.8365, 420.626
-26.42, -32.7226, 420.541
-28.5141, -33.9065, 421.062
-30.0394, -34.7555, 421.973
-36.4336, -37.9863, 426.111
-44.1358, -41.0965, 431.416
-45.8866, -41.6895, 432.985
-48.4831, -42.5011, 434.624
-50.2988, -43.0051, 436.206
-52.797, -43.617, 438.13
-54.2447, -43.9452, 441.266
-55.9529, -44.456, 445.969
-56.5204, -44.7023, 450.282
-56.7622, -44.9569, 451.223
-56.5546, -45.1417, 450.717
-56.5415, -45.378, 450.541
-56.6995, -45.3923, 450.068
-56.8104, -45.4173, 450.132
-56.7468, -45.4196, 450.239
-56.6246, -45.4207, 450.268
-56.6018, -45.4217, 450.318
-56.6018, -45.4204, 450.247
-56.6018, -45.4199, 450.224
-56.6018, -45.4199, 450.222
-56.6018, -45.4201, 450.232
-56.5986, -45.4197, 450.213
-56.5986, -45.4197, 450.209
-56.5986, -45.4201, 450.231
-56.5986, -45.4198, 450.218
-56.5986, -45.4197, 450.21
-55.8332, -47.5265, 450.227
-55.3555, -47.5281, 450.229
-55.1046, -47.5496, 450.042
-54.3794, -47.5426, 449.771
-53.0202, -47.528, 449.482
-51.0042, -47.5053, 449.406
-49.4561, -47.4629, 449.284
-46.8816, -47.4043, 448.655
-44.9514, -47.3341, 447.986
-41.8626, -47.1965, 447.345
-39.6569, -47.0534, 446.945
-32.665, -46.6518, 446.988
-27.893, -46.374, 450.267
-28.0805, -46.3902, 449.863
-28.1571, -46.4014, 450.44
-28.1669, -46.4003, 450.388
-28.1506, -46.3884, 449.764
-28.1507, -46.3789, 449.27
-28.123, -46.3822, 449.463
-28.1197, -46.3813, 449.416
-28.1197, -46.3815, 449.427
-28.1197, -46.3815, 449.429
-28.1197, -46.3816, 449.431
-28.1197, -46.3816, 449.432
-28.1197, -46.3817, 449.437
-28.1197, -46.3818, 449.442
-28.1197, -46.3817, 449.438
-28.1197, -46.3818, 449.441
-28.1197, -46.3817, 449.44
-28.1197, -46.3819, 449.446
-28.1197, -46.3819, 449.449
-28.1197, -46.3819, 449.45
-28.1197, -46.3818, 449.445
-28.1197, -46.3819, 449.445
-28.1197, -46.3819, 449.448
-28.1197, -46.3818, 449.443
-28.1197, -46.3818, 449.443
-28.1197, -46.3818, 449.444
-28.1197, -46.3819, 449.449
-28.1197, -46.382, 449.45
-28.1197, -46.382, 449.455
-28.1197, -46.382, 449.453
-28.1197, -46.382, 449.453
-28.1197, -46.382, 449.451
-28.1197, -46.382, 449.453
